LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 1662.0, 1152, 1.0, 1917.0, 294912, 830.0, 2171.0, 1536, -6292.0, -1.0, 576, -31457.0, -1.0, 294912, 2171.0, 2172.0, 512,
1, 1.0, 512.0, 512, 1.0, 639.0, 65536, 766.0, 893.0, 640, -6292.0, -1.0, 512, -12583.0, -1.0, 65536, 1021.0, 1021.0, 128,
2, 1.0, 128.0, 128, 1.0, 138.0, 1408, 382.0, 392.0, 523, -6292.0, -1.0, 128, -6292.0, -1.0, 1408, 637.0, 637.0, 11,
