LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 33263, 0, 0.05243632423789195, 1.5380859375, 0.05243474786931823,
1, 8189, 0, 0.19968312103126146, 3.0281575520833335, 0.19965873969780218,
2, 581, 0, 0.5113086273666093, 4.1259765625, 0.5104300902061856,
3, 653, 0, 0.26919027565084225, 1.220703125, 0.26877866972477066,
4, 797, 0, 0.03528858218318695, 0.09765625, 0.035244360902255634,
5, 2171, 0, 0.20727775218793182, 0.390625, 0.20718232044198895,
6, 1021, 0, 0.0979431929480901, 0.1953125, 0.09784735812133072,
7, 637, 0, 0.003372743328100471, 0.01678466796875, 0.003367456896551724,
